0_0_dx,0_0_dy,0_1_dx,0_1_dy,0_2_dx,0_2_dy,1_0_dx,1_0_dy,1_1_dx,1_1_dy,1_2_dx,1_2_dy,2_0_dx,2_0_dy,2_1_dx,2_1_dy,2_2_dx,2_2_dy,angle
52.9123,47.0243,52.7161,50.0692,53.0454,52.8801,50.2059,47.1165,49.9593,50.0352,50.0201,53.1337,47.0945,47.0271,47.1017,50.0553,46.9259,52.9031,1.7
53.0127,46.9435,52.782,50.0791,53.0484,52.8905,50.1581,47.0422,49.9819,50.0768,50.1079,53.1365,46.9176,47.0278,47.031,50.1284,46.8593,52.9423,1.75
53.0833,46.9156,52.9511,50.1382,53.0774,53.0487,50.2047,46.9786,49.9924,50.0144,50.0794,53.1469,46.9628,46.9109,46.9453,50.1635,46.9159,53.1131,1.8
53.1531,46.8281,53.081,50.1749,53.153,53.1449,50.196,46.8614,49.9978,50.007,50.0743,53.234,46.8546,46.7725,46.868,50.089,46.8417,53.1386,1.85
53.1582,46.7266,53.1574,50.1335,53.1954,53.1881,50.1595,46.8336,49.9969,50.0155,50.0917,53.3349,46.7918,46.7367,46.7539,50.1272,46.7949,53.1895,1.9
53.2274,46.427,53.2598,50.1861,53.2098,53.2233,50.165,46.796,49.9714,50.0477,50.067,53.6191,46.3488,46.5872,46.723,50.1511,46.6786,53.1493,1.95
53.2903,46.3581,53.2862,50.1657,53.7252,53.2408,50.1859,46.7623,49.9849,50.0549,50.0484,53.7678,46.2798,46.7053,46.6396,50.1212,46.5778,53.2757,2.0
53.3565,46.3341,53.238,50.1359,53.8009,53.2778,50.1746,46.7355,49.9814,50.0507,50.0698,53.838,46.2699,46.5814,46.4098,50.1195,46.575,53.3171,2.05
53.8063,46.1964,53.351,50.0855,53.8746,53.3062,50.2025,46.6693,49.9892,50.0488,50.0248,53.8913,46.2725,46.3649,46.3108,50.1563,46.1609,53.4358,2.1
53.8178,46.0512,53.4193,50.0742,53.8885,53.3413,50.1718,46.3116,49.9611,50.0142,50.0352,53.9734,46.2187,46.2954,46.28,50.1299,46.1211,53.4299,2.15
